source,target
"""In forty-eight hours, with a good wind, we should sight it!""",En cuarenta y ocho horas y con un buen viento podemos estar allí.
"'You said, my love, that it would depend on Alexis Alexandrovich.' Betsy corrected her.","–Me ha dicho usted, querida amiga, que eso dependía de su esposo –corrigió Betsy. –Pues no, no puedo recibirle, ni sirve de..."
Here is an order for two hundred pistoles; call upon my treasurer and get the money.,"Aquí tenéis un vale de doscientas pistolas, pasad por casa de mi tesorero y haceos pagar."
"""Monseigneur,"" said d’Artagnan, ""this was what happened to me--"" ""Never mind, never mind!"" resumed the cardinal, with a smile which indicated that he knew the story as well as he who wished to relate it.","Inútil, inútil replicó el cardenal con una sonrisa que indicaba que conocía la historia tan bien como el que quería contársela ; estabais recomendado al señor de Tréville, ¿no es así?"
"They reached the Rue St. Honore, and in the Place du Palais-Cardinal they found the twelve invited Musketeers, walking about in expectation of their comrades.","Llegaron a la calle Saint Honoré, y en la plaza Palais Cardinal encontraron a los doce mosqueteros convocados que se paseaban a la espera de sus camaradas."
"We immediately took counsel with the renegade as to what means would have to be adopted in order to carry off the Moorish lady and bring us all to Christian territory; and in the end it was agreed that for the present we should wait for a second communication from Zoraida (for that was the name of her who now desires to be called Maria), because we saw clearly that she and no one else could find a way out of all these difficulties.","Entramos luego en consejo con el renegado, en qué orden se tendría para sacar a la mora y venirnos todos a tierra de cristianos, y, en fin, se acordó por entonces que esperásemos el aviso segundo de Zoraida, que así se llamaba la que ahora quiere llamarse María; porque bien vimos que ella, y no otra alguna era la que había de dar medio a todas aquellas dificultades."
"Many, already smitten, went home only to die: some died at the school, and were buried quietly and quickly, the nature of the malady forbidding delay.","Muchas, casi todas, sólo salieron del colegio para ir a morir a sus casas; otras fallecieron en Lowood y fueron enterradas rápidamente y sin aparato."
"Répete donc les prieres que tu disais tous les soirs sur le chariot lorsque nous étions encore, dans la prairie.","Di las oraciones que decías todas las noches en la carreta, cuando atravesábamos los Llanos."
"They asked Julius Caesar, the valiant Roman emperor, what was the best death. He answered, that which is unexpected, which comes suddenly and unforeseen; and though he answered like a pagan, and one without the knowledge of the true God, yet, as far as sparing our feelings is concerned, he was right; for suppose you are killed in the first engagement or skirmish, whether by a cannon ball or blown up by mine, what matters it?","Preguntáronle a Julio César, aquel valeroso emperador romano, cuál era la mejor muerte; respondió que la impensada, la de repente y no prevista; y, aunque respondió como gentil y ajeno del conocimiento del verdadero Dios, con todo eso, dijo bien, para ahorrarse del sentimiento humano; que, puesto caso que os maten en la primera facción y refriega, o ya de un tiro de artillería, o volado de una mina, ¿qué importa?"
"It was decided that the castaway, or rather the stranger as he was thenceforth termed by his companions, should live in one of the rooms of Granite House, from which, however, he could not escape.","Se decidió que el abandonado, o mejor dicho, el desconocido, porque así lo designaron después sus nuevos compañeros, habitase en un cuarto del Palacio de granito, de donde no podrían escaparse."
"""You will give me a copy this evening, which I shall know by heart tomorrow.""","Esta noche me daréis una copia, que mañana sabré de memoria."
"""There's the village,"" said the driver, pointing to a cluster of roofs some distance to the left; ""but if you want to get to the house, you'll find it shorter to get over this stile, and so by the foot-path over the fields.","––El pueblo está allí ––dijo el cochero, señalando un grupo de tejados que se veía a cierta distancia a la izquierda––. Pero si quieren ustedes ir a la casa, les resultará más corto por esa escalerilla de la cerca y luego por el sendero que atraviesa el campo."
"This achieved, she jumped from my knee and said, ""Now, Mademoiselle, I will repeat you some poetry.""","Acabado el cantar, saltó de mis rodillas y dijo: -Ahora voy a recitar versos."
"""Armentieres,"" read Porthos; ""Armentieres?",Armentiéres leyó Porthos .
"""Either the lake will arrest the progress of the lava, and a part of the island will be preserved from utter destruction, or the stream will overrun the forests of the Far West, and not a tree or plant will remain on the surface of the soil.",–O el lago detiene la corriente de lava y una parte de la isla se libra de la devastación completa o la corriente invade los bosques del Far–West: ni un árbol ni una planta quedarán en la superficie.
"""Well, Captain Harding,"" asked Pencroft, ""what do you think of our vessel?""","–Y bien, señor Ciro –preguntó Pencroff–, ¿qué dice usted de nuestro barco?"
His teeth were half bared.,La boca descubría a medias sus dientes apretados.
"It might even have been said that he did not observe the country at all, either in its configuration or in its natural productions, his great aim being to climb the mountain before him, and therefore straight towards it he went.","Puede afirmarse que el ingeniero no observaba el país en su configuración, ni en sus producciones naturales: su único objeto era el monte que pretendía escalar y al que iba directamente."
"At last the third bell rang, the engine whistled and creaked, the coupling chains gave a jerk, and the husband crossed himself.","Por fin, se oyó la tercera campanada, un silbido de la locomotora, el chirrido de los enganches y el convoy se puso en movimiento."
"""Monsieur Porthos, be generous!""","Señor Porthos, sed generoso."
He hadn't finished speaking when a cracking sound occurred.,No había acabado de hablar cuando se produjo un fuerte chasquido.
"""If you once make trial of it, Sancho,"" said the duke, ""you'll eat your fingers off after the government, so sweet a thing is it to command and be obeyed.","-Si una vez lo probáis, Sancho -dijo el duque-, comeros heis las manos tras el gobierno, por ser dulcísima cosa el mandar y ser obedecido."
"They had also a variety of different beverages, and so long as they did not demand wine, the most hard to please would have had no reason to complain.","No faltaban tampoco bebidas diversas, y los más delicados no hubieran podido quejarse, siempre que no exigieran vino."
"""We will charge upon you, then,"" said he, ""if you disobey.""",Cargaremos contra vosotros si desobedecéis.
"Don Quixote and Sancho dismounted, and turning Rocinante and the ass loose to feed on the grass that was there in abundance, they ransacked the alforjas, and without any ceremony very peacefully and sociably master and man made their repast on what they found in them.","Apeáronse don Quijote y Sancho, y, dejando al jumento y a Rocinante a sus anchuras pacer de la mucha yerba que allí había, dieron saco a las alforjas, y, sin cerimonia alguna, en buena paz y compañía, amo y mozo comieron lo que en ellas hallaron."
"""To be sure you do, my child,"" said Teresa; ""and all this good luck, and even more, my good Sancho foretold me; and thou wilt see, my daughter, he won't stop till he has made me a countess; for to make a beginning is everything in luck; and as I have heard thy good father say many a time (for besides being thy father he's the father of proverbs too), 'When they offer thee a heifer, run with a halter; when they offer thee a government, take it; when they would give thee a county, seize it; when they say, ""Here, here!"" to thee with something good, swallow it.'","-Y ¡cómo que dices bien, hija! -respondió Teresa-. Y todas estas venturas, y aun mayores, me las tiene profetizadas mi buen Sancho, y verás tú, hija, cómo no para hasta hacerme condesa: que todo es comenzar a ser venturosas; y, como yo he oído decir muchas veces a tu buen padre, que así como lo es tuyo lo es de los refranes, cuando te dieren la vaquilla, corre con soguilla: cuando te dieren un gobierno, cógele; cuando te dieren un condado, agárrale, y cuando te hicieren tus, tus, con alguna buena dádiva, envásala."
"""And on my part likewise,"" he returned, ""I have settled everything; and we shall leave Thornfield to-morrow, within half-an-hour after our return from church.""","-Por mi parte también -repuso él- y nos iremos de Thornfield mañana mismo, media hora después de volver de la iglesia."
"We left Don Quixote wrapped up in the reflections which the music of the enamourned maid Altisidora had given rise to. He went to bed with them, and just like fleas they would not let him sleep or get a moment's rest, and the broken stitches of his stockings helped them.",Dejamos al gran don Quijote envuelto en los pensamientos que le habían causado la música de la enamorada doncella Altisidora.
"What do you see?"" asked St. John.","¿Qué has visto, qué has oído? -preguntó John."
"It plained of its gaping wounds, its inward bleeding, its riven chords.",Las heridas de mi alma volvían a abrirse.
"You're very good as you are,' said Varenka, smiling her gentle, weary smile.",Es usted muy buena tal como es –replicó Vareñka con su sonrisa suave y fatigada.
"Several times, with terror, no doubt, the cold sweat burst from her burning brow.","Varias veces, de terror sin duda, el sudor frío subió a su frente ardiente."
"""I have lost the note-book,"" said Sancho, ""that contained the letter to Dulcinea, and an order signed by my master in which he directed his niece to give me three ass-colts out of four or five he had at home;"" and he then told them about the loss of Dapple.","-He perdido el libro de memoria -respondió Sancho-, donde venía carta para Dulcinea y una cédula firmada de su señor, por la cual mandaba que su sobrina me diese tres pollinos, de cuatro o cinco que estaban en casa. Y, con esto, les contó la pérdida del rucio."
"""Then let him come in, if you please.""","Entonces hacedlo entrar, señora, os lo ruego."
"But when alone in the carriage, to his surprise and joy he felt completely relieved of that pity and of the suspicions and jealousy that had lately so tormented him. He felt like a man who has just had a tooth drawn which has been hurting him a long time.","Mas, al quedar solo en el coche, Alexey Alejandrovich, con gran sorpresa y alegría, se sintió libre en absoluto de aquella compasión y de las dudas y celos que le atormentaban últimamente."
"He had no words to express his desire for this liberation, and therefore did not speak of it; but went on from habit demanding satisfaction of those wishes that could be fulfilled.","Mas, como no encontraba palabras para expresar aquel deseo, continuaba, por costumbre, reclamando la satisfacción de aquellos deseos que no podían ya satisfacerse. –Volvedme del otro lado –decía."
"""Proceed, senora,"" said the majordomo, ""and finish your story of what has happened to you, for your words and tears are keeping us all in suspense.""","-Prosiga vuestra merced, señora, y acabe de decirnos lo que le ha sucedido, que nos tienen a todos suspensos sus palabras y sus lágrimas."
"Breakfast-time came at last, and this morning the porridge was not burnt; the quality was eatable, the quantity small.","El desayuno llegó al fin. Hoy no estaba quemado, pero en cambio era muy poco."
"They asked him to let himself be stripped that they might put a shirt on him, but he would not on any account, saying that modesty became knights-errant just as much as valour.","Pidiéronle que se dejase desnudar para una camisa, pero nunca lo consintió, diciendo que la honestidad parecía tan bien en los caballeros andantes como la valentía."
"""Well,"" said the cardinal, ""then it will be time to claim the order which you just now required.""","Pues bien dijo el duque , entonces será el momento de reclamar la orden que pedís ahora mismo."
Passepartout remained alone in the house in Saville Row.,Picaporte se quedó solo en la casa de SavilleRow.
"'Kitty! That same Kitty with whom Vronsky was in love,' thought Anna.","«Kitty, la misma Kitty de la cual estuvo enamorada Vronsky», pensó Ana."
"""I grieve to leave Thornfield: I love Thornfield:--I love it, because I have lived in it a full and delightful life,--momentarily at least. I have not been trampled on.","He podido hablar con alguien a quien admiro, en cuyo trato me complazco..."
"Sur la saillie d’un énorme rocher, a trois ou quatre cents pieds au-dessus de sa tete, se dessinait la silhouette d’un animal assez semblable a un mouton, mais orné d’une paire de cornes gigantesques.","En el borde de una roca voladiza, a trescientos o cuatrocientos pies sobre su cabeza, afirmaba sobre el suelo las pezuñas una criatura de apariencia vagamente semejante a la de una cabra, aunque armada de un par de descomunales cuernos."
"'Don't talk nonsense,' said Alice more boldly: 'you know you're growing too.'",--No digas tonterías --replicó Alicia con más brío--. De sobra sabes que también tú creces.
"Not only is he going himself, but he is taking a whole squadron at his own expense.'","No sólo va a la guerra él mismo, sino que lleva un escuadrón a sus expensas."
He watched as it slowly began to get light everywhere outside the window too.,Vivió todavía el comienzo del amanecer detrás de los cristales.
Seize it!',¡Busca!
"Accordingly, when I have a mind to visit the ocean depths two or three vertical leagues beneath the surface, I use maneuvers that are more time-consuming but no less infallible.""","Pero cuando tengo el capricho de visitar las profundidades del océano, a dos o tres leguas por debajo de su superficie, empleo maniobras más largas, pero no menos infalibles."
"Roque, who was paying more attention to the fair Claudia's adventure than to the words of master or man, did not hear them; and ordering his squires to restore to Sancho everything they had stripped Dapple of, he directed them to return to the place where they had been quartered during the night, and then set off with Claudia at full speed in search of the wounded or slain Don Vicente.","Roque, que atendía más a pensar en el suceso de la hermosa Claudia que en las razones de amo y mozo, no las entendió; y, mandando a sus escuderos que volviesen a Sancho todo cuanto le habían quitado del rucio, mandándoles asimesmo que se retirasen a la parte donde aquella noche habían estado alojados, y luego se partió con Claudia a toda priesa a buscar al herido, o muerto, don Vicente."
"The lodge was a ruin of black granite and bared ribs of rafters, but facing it was a new building, half constructed, the first fruit of Sir Charles's South African gold.","La casa del guarda era una ruina de granito negro y desnudas costillas de vigas, pero frente a ella se alzaba un nuevo edificio, construido a medias, primer fruto del oro sudafricano de Sir Charles."
"Sometimes I went out in her to divert myself, but no more hazardous voyages would I go, scarcely ever above a stone’s cast or two from the shore, I was so apprehensive of being hurried out of my knowledge again by the currents or winds, or any other accident.","A veces iba solo por divertirme, pues no estaba dispuesto a hacer más viajes peligrosos ni alejarme más de uno o dos tiros de piedra de la orilla; tal era mi temor de volver a ser arrastrado sin darme cuenta por la corriente o el viento o sufrir cualquier otro accidente."
"""Not at all, professor,"" the captain answered me after a slight hesitation, ""since you'll never leave this underwater boat.","-En modo alguno, señor profesor -me respondió el capitán, tras una ligera vacilación-, ya que nunca saldrá usted de este barco submarino."
"Yet such, I grieve to say, is the case.""","Sin embargo, siento decirlo, es así."
"""'Certainly,' I answered.",»––Desde luego.
"It seemed strange talk for a wedding-morning, but what has happened since gives a meaning to it.""","Parece raro hablar de estas cosas en la mañana de tu boda, pero lo que después ocurrió hace que cobre sentido."
Not a sound could be heard inside the palisade.,Ningún ruido en el interior del recinto.
"""In a modest way I have combated evil, but to take on the Father of Evil himself would, perhaps, be too ambitious a task.","Combato el mal dentro de mis modestas posibilidades, pero enfrentarse con el Padre del Mal en persona quizá sea una tarea demasiado ambiciosa."
"""That village a few miles off?",-¿Esa aldea a pocas millas de distancia?
"Moreover, Captain Nemo's reclusiveness, his changed disposition, and especially his total silence since the battle with the devilfish all made me see things in a different light. I no longer felt the enthusiasm of our first days on board.","Además, el aislamiento del capitán Nemo, su cambio de humor, sobre todo desde el combate con los pulpos, su taciturnidad, me hacían ver las cosas de un modo diferente y ya no sentía el entusiasmo de los primeros tiempos."
"And besides, the specific was at hand; nor, doubtless, was he who had brought it far distant!","Pero estaba atendido y el específico estaba allí, y no se encontraba lejos el que lo había llevado."
"""Certainly,"" he replied, ""since the ballast tanks aren't yet empty, and when they are, the Nautilus must rise to the surface of the sea.""","-Sí -respondió-, puesto que los depósitos no están aún vacíos, y una vez vaciados, el Nautilus se remontará a la superficie del mar."
"We rattled through an endless labyrinth of gas-lit streets until we emerged into Farrington Street. ""We are close there now,"" my friend remarked.","Avanzamos traqueteando a través de un interminable laberinto de calles iluminadas por farolas de gas, hasta que salimos a Farringdon Street. ––Ya nos vamos acercando ––comentó mi amigo––."
"Ah, I do dislike that next world,' said Nicholas, fixing his wild, frightened eyes on his brother's face.","Ni me interesa ni lo deseo –dijo Nicolás, posando en el semblante de su hermano sus ojos salvajes y asustados–."
"The 14th of February, eve of the departure, was consecrated entirely to repose, and--thanksgiving addressed by the colonists to the Creator.","El 14 de febrero, víspera de la marcha, era domingo y fue consagrado al descanso y santificado por la acción de gracias que los colonos dirigieron al Creador."
"De tous côtés on entendait des exclamations d’étonnement et de pitié, a la vue de ces deux étrangers, l’un si jeune, l’autre si misérable.","A la vista de la juventud de uno de los extraños, y de la depauperación del otro, se elevaron de la turba gritos de asombro y conmiseración."
"The necessary steps were taken; the Vicar saw the agreement, and took the lady's confession; she confessed everything in full, and he ordered her into the custody of a very worthy alguacil of the court.""","Hiciéronse las diligencias, vio el vicario la cédula, tomó el tal vicario la confesión a la señora, confesó de plano, mandóla depositar en casa de un alguacil de corte muy honrado...»"
A flush of animation suffused Karenin's face as he rapidly wrote out a summary of these ideas.,Un animado color cubrió las mejillas de Alexey Alejandrovich mientras anotaba rápidamente aquellas ideas.
He has been a fixture therefore all day.,Eso significa que no se ha movido en todo el tiempo.
"I sent John, the coachman, to watch you, ran up stairs, got into my walking-clothes, as I call them, and came down just as you departed.","Ordené a John, el cochero, que le vigilara, corrí al piso de arriba, me puse mi ropa de paseo, como yo la llamo, y bajé justo cuando usted salía."
"When Don Lorenzo had finished reciting his gloss, Don Quixote stood up, and in a loud voice, almost a shout, exclaimed as he grasped Don Lorenzo's right hand in his, ""By the highest heavens, noble youth, but you are the best poet on earth, and deserve to be crowned with laurel, not by Cyprus or by Gaeta—as a certain poet, God forgive him, said—but by the Academies of Athens, if they still flourished, and by those that flourish now, Paris, Bologna, Salamanca.","En acabando de decir su glosa don Lorenzo, se levantó en pie don Quijote, y, en voz levantada, que parecía grito, asiendo con su mano la derecha de don Lorenzo, dijo: -¡Viven los cielos donde más altos están, mancebo generoso, que sois el mejor poeta del orbe, y que merecéis estar laureado, no por Chipre ni por Gaeta, como dijo un poeta, que Dios perdone, sino por las academias de Atenas, si hoy vivieran, y por las que hoy viven de París, Bolonia y Salamanca!"
"We were as good as our word, for it was just seven when we reached the Copper Beeches, having put up our trap at a wayside public-house.","Fieles a nuestra palabra, llegamos a Copper Beeches a las siete en punto, tras dejar nuestro carricoche en un bar del camino."
"""Have they thought of looking outside the house?""",––¿No se les ha ocurrido buscar fuera de la casa?
"Among the long grass, Pencroft felt that his feet were crushing dry branches which crackled like fireworks.","Entre las altas hierbas Pencroff sintió que su pie hacía crujir ramas secas, como si fueran fuegos artificiales."
Turn him over.,Ayúdale.
"The nurse has no milk, sir.'","Alexey Alejandrovich quedó pensativo y, tras reflexionar unos momentos, cruzó la puerta."
"I waited until midnight, but there was no sign of his return, so I retired to my room.","Esperé hasta la medianoche, pero como no daba señales de regresar me retiré a mi habitación."
Every minute that white woolly plain which covered one half of the moor was drifting closer and closer to the house.,Cada minuto que pasaba la algodonosa llanura blanca que cubría la mitad del páramo se acercaba más a la casa.
"'Oh, things are wretched, miserable!' said Oblonsky, and sighed heavily.","–¡De que todo me va mal! –respondió Oblonsky, suspirando profundamente."
"Iceland is one of the largest islands in Europe. Its surface is 14,000 square miles, and it contains but 16,000 inhabitants.",Es Islandia una de las grandes islas de Europa; mide 1.400 millas de superficie y sólo tiene 60.000 habitantes.
"""I will not sign this order! And why not?""",¿Que no firmaré esta orden? dijo Buckingham .
"Mast and sail flew up in an instant together, and I saw them carried up to prodigious height, resembling in appearance a pterodactyle, one of those strong birds of the infant world.","La vela es arrancada, juntamente con el palo, y parten ambas cosas, formando un solo cuerpo, elevándose a una altura prodigiosa cual nuevo pterodáctilo, esa ave fantástica de los primeros siglos."
"Something of masquerade I suspected. I knew gipsies and fortune-tellers did not express themselves as this seeming old woman had expressed herself; besides I had noted her feigned voice, her anxiety to conceal her features.","Sabía que las gitanas y las adivinas no se expresan en los términos que lo hiciera la supuesta vieja. Había notado, además, la voz fingida, el afán de ocultar las facciones."
"Porthos called him drunk, and the stranger drew his sword.",Porthos lo llamó borracho; el desconocido saco su espada.
"""Yes; I have everywhere observed the angles and the inclines. I am sure there is no error.",—Sí. He anotado cuidadosamente los ángulos y las pendientes; estoy seguro de no cometer un error.
"A quarter of an hour passed before lessons again began, during which the schoolroom was in a glorious tumult; for that space of time it seemed to be permitted to talk loud and more freely, and they used their privilege.","Pasó un cuarto de hora antes de que se reanudasen las lecciones y, entretanto, reinó en el salón de estudio un grandísimo tumulto. En aquel intervalo se permitía hablar más alto y con más libertad, y todas se aprovechaban de tal derecho."
"The day you're ready, alert us and we're with you.","El día que esté usted dispuesto, nos lo dirá y nosotros le seguiremos."
"There, sir. There's the ideal ship!","Sí, éste es el navío por excelencia."
'And was he very glad?' he asked.,–¿Y estaba muy alegre? –preguntó.
They had great difficulty in getting out.,"Les costó trabajo salir; el viento los rechazaba; pero, por fin, salieron y no pudieron tenerse en pie sino asiéndose a las rocas."
"""My private note-paper.""",––Mi papel de cartas personal.
"""Well, what is it--what is going on here?"" said he, in a jeering voice, on seeing the prisoner sitting up and Felton about to go out.",¿Qué es? ¿Qué es lo que pasa aquî? dijo con una voz burlona viendo a su prisionera de pie y a Felton dispuesto a salir .
"""Dead!"" cried Ayrton, half rising from his bed, notwithstanding his weakness.","–¡Muertos! –exclamó Ayrton, que a pesar de su debilidad se incorporó en la cama."
The light still burned steadily in front.,La luz seguía brillando delante de nosotros.
"At least, so it seemed to me, judging from his fingers, which were beginning to work with terrible energy.","Así, al menos, me lo hizo suponer el temblor de sus dedos que comenzó a agitar de una manera convulsa."
"""We ought to have brought a torch.""",–Tendríamos que haber tomado un farol.
"And chiefly roguery of mind, precisely roguery. Just mind-swindling,' he repeated.","La razón no ha descubierto que se amase al prójimo, porque eso no es razonable.»"
"""He's quicker at climbing down holes than I am.",Es más rápido que yo saltando por agujeros.
I will embrace your knees!,¡Señor! exclamó .
"— Effectivement, répondis-je.",––Sí ––repliqué.
Chapter 5,5. Encuentran el globo y síntomas de que hay alguien
'The question is at present occupying the best brains in Europe.,–La cuestión apasiona ahora a los mejores cerebros europeos.
CHAPTER XIII. HOSPITALITY UNDER THE ARCTIC CIRCLE,Capítulo XIII
"Her name was Aldonza Lorenzo, and upon her he thought fit to confer the title of Lady of his Thoughts; and after some search for a name which should not be out of harmony with her own, and should suggest and indicate that of a princess and great lady, he decided upon calling her Dulcinea del Toboso—she being of El Toboso—a name, to his mind, musical, uncommon, and significant, like all those he had already bestowed upon himself and the things belonging to him.","Llamábase Aldonza Lorenzo, y a ésta le pareció ser bien darle título de señora de sus pensamientos; y, buscándole nombre que no desdijese mucho del suyo, y que tirase y se encaminase al de princesa y gran señora, vino a llamarla Dulcinea del Toboso, porque era natural del Toboso; nombre, a su parecer, músico y peregrino y significativo, como todos los demás que a él y a sus cosas había puesto."
"""But you comprehend me?"" he said.",-¿Ha comprendido bien? -insistió-.
"Has a white splash of acid upon his forehead.""",Tiene una mancha blanca de ácido en la frente.
"Then, turning around, I bumped into a wooden table next to which several stools had been set.","Al volverme, choqué con una mesa de madera, cerca de la cual había unas cuantas banquetas."
Sherlock Holmes took it up and opened the bureau.,Sherlock Holmes cogió la llave y abrió el escritorio.
"""It is ready,"" I replied, with faltering voice.","—Está lista —le respondí, con voz desfallecida."
"I can only claim the merit that I instantly reconsidered my position when, however, it became clear to me that whatever danger threatened an occupant of the room could not come either from the window or the door.","El único mérito que puedo atribuirme es el de haber reconsiderado inmediatamente mi postura cuando, pese a todo, se hizo evidente que el peligro que amenazaba al ocupante de la habitación, fuera el que fuera, no podía venir por la ventana ni por la puerta."
"'At present I am teaching Grisha, but that is only because I am free now and not having a baby.",Y se dijo: « Está bien que me ocupe de Gricha ahora porque estoy más libre y no he de tener ningún hijo.
"""Only let Senor Don Quixote pay me for some part of the work he has destroyed,"" said Master Pedro, ""and I would be content, and his worship would ease his conscience, for he cannot be saved who keeps what is another's against the owner's will, and makes no restitution.""","-Con que me pagase el señor don Quijote alguna parte de las hechuras que me ha deshecho, quedaría contento, y su merced aseguraría su conciencia, porque no se puede salvar quien tiene lo ajeno contra la voluntad de su dueño y no lo restituye."
"WHEN LEVIN CAME UPSTAIRS his wife was sitting beside the new silver samovar with a new tea-service before her, reading a letter from Dolly, with whom she kept up a regular and active correspondence. She had made old Agatha Mikhaylovna sit at a little table with a cup of tea she had poured out for her.","Cuando Levin subió, su mujer estaba ante un nuevo samovar de plata y un servicio de tazas también nuevo. Había hecho sentar a Agafia Mijailova ante la mesita de té, y leía una carta de Dolly, con la que cruzaba continua y frecuente correspondencia."
"There were those who envied him his fame; and as his theories, resting upon known facts, were in opposition to the systems of science upon the question of the central fire, he sustained with his pen and by his voice remarkable discussions with the learned of every country.","Así sucedió, en efecto, y, como sus teorías, basadas en hechos ciertos, contradecían los sistemas establecidos por la ciencia sobre la cuestión del fuego central, sostuvo verbalmente y por escrito muy notables polémicas con los sabios de todos los países."
"A propos of Vasenka's repeated expressions of delight at the charm of the arrangements for the night, of the scent of hay, and of a broken cart (which he thought was broken, because its fore wheels had been removed), of the good-nature of the peasants who had treated him to vodka, and of the dogs which lay each at its master's feet, Oblonsky told them about the delights of a shooting party with Malthus at which he had been last summer.","Vaseñka exteriorizó su entusiasmo sobre aquella noche pasada en un pajar, entre el olor del heno, el encanto del carro roto –que así se lo parecía, porque le habían bajado la delantera para convertirlo en lecho–, entre los simpáticos campesinos que le invitaran a vodka y los perros que se tendían cada uno al pie de la cama de su amo."
"My movements were quite free, although they were executed under a pressure of thirty atmospheres.","Mis movimientos eran muy libres, pese a producirse bajo una presión de treinta atmósferas."
"Vronsky stroked her firm neck, adjusted a lock of her mane that had got on to the wrong side of her sharply-defined withers and brought his face close to her dilated nostrils, delicate as a bat's wing.","Vronsky acarició su cuello robusto, arregló un mechón de crines que le caían al lado opuesto y acercó el rostro a las narices del animal, finas y tensas como alas de murciélago."
"“Why, Friday,” says I, “do you think they are going to eat them, then?”","Este espectáculo me dejó totalmente perplejo, pues no comprendía su significado."
"""Let us search,"" he resumed, ""and God grant that we may some day be permitted to prove to this haughty protector that he has not to deal with ungrateful people!",–Busquemos –dijo–y Dios quiera que encontremos un día a ese protector altivo que no ha protegido a ingratos.
"And then turning towards the mills he said aloud, ""Friends, whoe'er ye be that are immured in that prison, forgive me that, to my misfortune and yours, I cannot deliver you from your misery; this adventure is doubtless reserved and destined for some other knight.""","Y, alzando la voz, prosiguió diciendo, y mirando a las aceñas: -Amigos, cualesquiera que seáis, que en esa prisión quedáis encerrados, perdonadme; que, por mi desgracia y por la vuestra, yo no os puedo sacar de vuestra cuita. Para otro caballero debe de estar guardada y reservada esta aventura."
"""Can you see me?""",-Y a mí ¿me ve?
"This woman was young, and as fair as a European.",Esta mujer era joven y blanca como una europea.
"Here, take this purse of a hundred pistoles, and pardon me.""","¡Tomad! Coged esa bolsa de cien pistolas, y perdonadme."
"And hundreds of times Captain Harding had almost been among those who were not counted by the terrible Grant; but in these combats where he never spared himself, fortune favored him till the moment when he was wounded and taken prisoner on the field of battle near Richmond.","Y cien veces Ciro Smith había estado a punto de ser uno de aquellos que no contaba el terrible Grant. Sin embargo, en esos combates, donde se exponía tanto, la suerte le favoreció siempre, hasta que fue herido y hecho prisionero en el campo de batalla de Richmond."
These are the more patent facts which are to be deduced from his hat.,Éstos son los datos más aparentes que se deducen de este sombrero.
The second instalment of the forest money had been paid and was not yet all spent.,El dinero pagado como segundo plazo por el comprador del bosque se había recibido ya y no se había gastado aún.
"Milady wished to please the abbess. This was a very easy matter for a woman so really superior as she was. She tried to be agreeable, and she was charming, winning the good superior by her varied conversation and by the graces of her whole personality.","Milady quería agradar a la abadesa; ahora bien, era cosa fácil para aquella mujer tan realmente superior; trató de ser amable: fue encantadora y sedujo a la buena superiora por su conversación tan variada y por las gracias esparcidas en toda su persona."
"Have you not yet divined who he is?""","¿Es preciso que todavía te lo nombre, no lo has adivinado?"
"When he did not come I was surprised, and I naturally became alarmed for his safety when I heard cries upon the moor.","Me sorprendió que no se presentara y, como es lógico, me alarmé al oír gritos en el páramo."
My only course was to proceed.,Era preciso seguirles.
Diana took the word--,Diana tomó la palabra:
At nine o'clock he heard the sound of a bell and the heavy lurching of a carriage through the mud.,A las nueve se oyó un ruido de campanillas y el sordo traqueteo de un carruaje avanzando por el barro.
But it is too heavy a task.,Pero es una tarea desmesurada.
"Is any kind – not of happiness even, but of absence of torture – possible? No!","¿Será posible una nueva sensación que, si no nos hace felices, consiga al menos que no nos sintamos desgraciados?"
But all the same if it is possible you should get married.',"Ya sabes cómo considero las cosas... Pero de todos modos, si es posible, hay que casarse..."
"To reach England""--Athos lowered his voice--""all France, covered with spies and creatures of the cardinal, must be crossed. A passport for embarkation must be obtained; and the party must be acquainted with English in order to ask the way to London.","Para ir a Inglaterra Athos bajó la voz , hay que atravesar toda Francia, sembrada de espías y de criaturas del cardenal; se necesita un pase para embarcarse; hay que saber inglés para preguntar el camino a Londres."
"He hunted and shot, and she humoured her children; and these were their only resources.","El cazaba y practicaba el tiro, ella consentía a sus hijos; y éstos eran sus únicos recursos."
"'You did not expect me, eh?' said Oblonsky, getting out of the sledge with mud on his nose, cheek, and eyebrows, but beaming with cheerfulness and health.","Llevaba barro en la nariz, en las mejillas y en las cejas, pero iba radiante de salud y alegría. –Ante todo, he venido para verte –dijo, abrazando y besando a Levin–; después, para cazar con perro y, además, para vender el bosque de Erguchovo. –¡Muy bien!"
"Death, the inevitable end of everything, confronted him for the first time with irresistible force.","La muerte, como fin inmediato de todo, surgió en su cerebro por primera vez."
"""_Nej!_"" repeats Hans, leisurely shaking his head.","—Nej —dice Hans, moviendo lentamente la cabeza."
"""True: no doubt he may appear so to a stranger, but I am so accustomed to his manner, I never think of it; and then, if he has peculiarities of temper, allowance should be made."" ""Why?""","-Sin duda parece algo raro, pero yo estoy acostumbrada a su carácter y nunca pienso en eso. Puesto que tiene un temperamento especial, es preciso seguirle la corriente. -¿Por qué?"
42 THE ANJOU WINE,Capítulo XLII El vino de Anjou
